date,ticker,gap_pct,change_open_pct,rsi14m,rvol
2023-12-18,NVDA,0.486807,0.486807,41.602265,0.747354
2023-12-18,TSLA,0.260355,0.260355,47.110427,0.778953
2023-12-19,AAPL,0.439022,0.439022,54.986976,0.413376
2023-12-19,AMD,-0.280778,-0.280778,42.608914,0.960161
2023-12-19,NVDA,-1.329952,-1.329952,53.033383,0.900792
2023-12-19,TSLA,0.325294,0.325294,59.967307,0.736129
2023-12-20,AAPL,-0.406215,-0.406215,25.562315,0.490946
2023-12-20,AMD,-0.385301,-0.385301,30.580767,0.635515
2023-12-20,NVDA,-0.622934,-0.622934,25.373492,0.614675
2023-12-20,TSLA,-0.120519,-0.120519,26.574413,0.751411
2023-12-21,AAPL,0.446543,0.446543,31.440839,0.569858
2023-12-21,AMD,1.313944,1.313944,38.811955,0.652718
2023-12-21,NVDA,1.257509,1.257509,47.866193,0.545635
2023-12-21,TSLA,1.561868,1.561868,49.065942,0.746482
2023-12-22,AAPL,0.138689,0.138689,54.702373,0.46693
2023-12-22,AMD,0.628976,0.628976,61.312308,0.514541
2023-12-22,NVDA,0.185752,0.185752,60.161593,0.478724
2023-12-22,TSLA,0.80943,0.80943,51.228596,0.642993
2023-12-26,AAPL,0.066684,0.066684,56.178558,0.357334
2023-12-26,AMD,0.415473,0.415473,56.086409,0.620617
2023-12-26,NVDA,0.212984,0.212984,69.466622,0.436946
2023-12-26,TSLA,0.657322,0.657322,40.940993,0.589524
2023-12-27,AAPL,-0.01036,-0.01036,43.919295,0.635371
2023-12-27,AMD,1.052367,1.052367,41.14729,0.699059
2023-12-27,NVDA,0.489052,0.489052,50.988217,0.451161
2023-12-27,TSLA,0.588442,0.588442,42.634486,0.719706
2023-12-28,AAPL,0.274398,0.274398,41.815012,0.430792
2023-12-28,AMD,0.554529,0.554529,33.797901,0.958674
2023-12-28,NVDA,0.596961,0.596961,33.806613,0.48622
2023-12-28,TSLA,0.990667,0.990667,35.741151,0.763984
2023-12-29,AAPL,0.092778,0.092778,51.693624,0.443554
2023-12-29,AMD,0.464977,0.464977,48.305638,0.94931
2023-12-29,NVDA,0.339243,0.339243,50.576843,0.774242
2023-12-29,TSLA,0.347579,0.347579,63.257819,0.711016
2024-01-02,AAPL,-2.37885,-2.37885,36.191978,1.037928
2024-01-02,AMD,-2.394682,-2.394682,37.27648,0.899789
2024-01-02,NVDA,-1.094463,-1.094463,32.40231,0.81788
2024-01-02,TSLA,-0.949775,-0.949775,33.341557,0.732022
2024-01-03,AAPL,-0.554837,-0.554837,51.067023,0.759394
2024-01-03,AMD,-1.594747,-1.594747,66.188193,0.881856
2024-01-03,NVDA,-1.324531,-1.324531,54.96181,0.613304
2024-01-03,TSLA,-1.328395,-1.328395,45.529163,0.871179
2024-01-04,AAPL,-1.090909,-1.090909,34.956954,0.892009
2024-01-04,AMD,-0.864617,-0.864617,59.391111,0.825343
2024-01-04,NVDA,0.275389,0.275389,59.745454,0.592224
2024-01-04,TSLA,0.293563,0.293563,60.163548,0.735743
